iter	RMSE
0	3868.168051
1	3412.109486
2	3132.483056
3	2931.540518
4	2913.012869
5	2804.198484
6	2794.305576
7	2784.908042
8	2776.173604
9	2767.959855
10	2760.202814
11	2747.271457
12	2740.520433
13	2677.147659
14	2667.255381
15	2661.788034
16	2653.584636
17	2648.78958
18	2641.757019
19	2589.04695
20	2585.228781
21	2542.775274
22	2537.362691
23	2497.616202
24	2493.294151
25	2490.681803
26	2486.4493
27	2483.057684
28	2480.028734
29	2477.08214
30	2473.823226
31	2447.223802
32	2438.200782
33	2436.922281
34	2435.181436
35	2434.00003
36	2394.666455
37	2368.490156
38	2348.739362
39	2347.803777
40	2346.899229
41	2346.040987
42	2345.224816
43	2344.438138
44	2343.686436
45	2342.96764
46	2319.08233
47	2318.41503
48	2317.927447
49	2317.457053
50	2316.849909
51	2316.421965
52	2315.927057
53	2276.04142
54	2258.002593
55	2257.486464
56	2256.99547
57	2256.527377
58	2256.080799
59	2239.324411
60	2238.914103
61	2238.523842
62	2238.150648
63	2237.793796
64	2237.453952
65	2237.127714
66	2221.69417
67	2194.108554
68	2193.674968
69	2188.146407
70	2187.90037
71	2171.259485
72	2162.311726
73	2141.197106
74	2130.676758
75	2118.242848
76	2112.200879
77	2111.987025
78	2110.135541
79	2101.495555
80	2101.291976
81	2099.619796
82	2099.405517
83	2084.709558
84	2084.501068
85	2084.296416
86	2084.10024
87	2083.907031
88	2083.718486
89	2083.535153
90	2083.360408
91	2081.781438
92	2077.552858
93	2074.756581
94	2073.393549
95	2073.228876
96	2061.895129
97	2054.369362
98	2042.142039
99	2036.367757
100	2036.231677
101	2030.657326
102	2018.466613
103	2012.586797
104	2002.932055
105	2002.816684
106	2002.705096
107	2000.020842
108	1998.898491
109	1991.908433
110	1987.329254
111	1984.378425
112	1976.728344
113	1967.961029
114	1960.188193
115	1958.606501
116	1955.633887
117	1948.379993
118	1948.259952
119	1941.155017
120	1931.255454
121	1924.994798
122	1923.980628
123	1920.511817
124	1920.399093
125	1920.286317
126	1919.100099
127	1918.995255
128	1905.622127
129	1904.697244
130	1902.291671
131	1899.442414
132	1893.603477
133	1884.133425
134	1875.571076
135	1874.855697
136	1874.100065
137	1874.004069
138	1867.887577
139	1867.249029
140	1866.668888
141	1866.233461
142	1865.754137
143	1865.243535
144	1858.432547
145	1855.432567
146	1855.343173
147	1855.26038
148	1854.790146
149	1850.31908
150	1846.005856
151	1843.133298
152	1839.481898
153	1837.336727
154	1836.756747
155	1832.521584
156	1830.928834
157	1827.455039
158	1823.344528
159	1819.907774
160	1818.446682
161	1814.512904
162	1809.875628
163	1808.269022
164	1808.253643
165	1803.08752
166	1803.017686
167	1802.031899
168	1801.382511
169	1796.532569
170	1793.621538
171	1792.188948
172	1792.120212
173	1790.846808
174	1784.745581
175	1783.089053
176	1780.752164
177	1780.688308
178	1777.485608
179	1776.053756
180	1771.15456
181	1770.129515
182	1766.859659
183	1761.299349
184	1761.238441
185	1761.179929
186	1759.804569
187	1759.722995
188	1759.076299
189	1755.924595
190	1753.432576
191	1752.355429
192	1751.256649
193	1750.261881
194	1747.038623
195	1743.350461
196	1742.479864
197	1740.807252
198	1736.103928
199	1733.79285
200	1729.404119
201	1729.352755
202	1729.303712
203	1725.617717
204	1725.607982
205	1725.09678
206	1724.526834
207	1724.517621
208	1721.783242
209	1716.875325
210	1716.866461
211	1715.0279
212	1715.015802
213	1711.931948
214	1709.737496
215	1709.728845
216	1706.896109
217	1706.885403
218	1703.401562
219	1703.356018
220	1703.310715
221	1703.26727
222	1703.224732
223	1703.183179
224	1703.142746
225	1703.10334
226	1701.026007
227	1698.28665
228	1693.877093
229	1691.656889
230	1687.516526
231	1682.974745
232	1682.232327
233	1674.183386
234	1674.002529
235	1673.996223
236	1669.695869
237	1669.689875
238	1667.264498
239	1665.406554
240	1662.382353
241	1658.878818
242	1656.557418
243	1655.139271
244	1655.13283
245	1652.152444
246	1652.139753
247	1647.8734
248	1645.187833
249	1644.511467
250	1642.059566
251	1641.405593
252	1641.393493
253	1641.076389
254	1638.944139
255	1638.933919
256	1633.112403
257	1633.101555
258	1630.688355
259	1630.678019
260	1629.04807
261	1629.037565
262	1625.99948
263	1625.99442
264	1625.985944
265	1625.169507
266	1621.717273
267	1617.720251
268	1614.848819
269	1614.839196
270	1614.720295
271	1608.663184
272	1606.764056
273	1606.755783
274	1603.192752
275	1603.15658
276	1601.622472
277	1598.854213
278	1596.22883
279	1596.223915
280	1593.985778
281	1593.4685
282	1593.072548
283	1590.731686
284	1588.513387
285	1585.425144
286	1585.262125
287	1585.25452
288	1585.246144
289	1585.201292
290	1583.234137
291	1583.225579
292	1581.031866
293	1580.159724
294	1578.637285
295	1577.300823
296	1577.291401
297	1576.874593
298	1576.847419
299	1575.273537
300	1572.932095
301	1568.644157
302	1566.530286
303	1566.526152
304	1564.564477
305	1564.254648
306	1564.247041
307	1562.739672
308	1561.909791
309	1561.906171
310	1560.143584
311	1558.617561
312	1557.258926
313	1555.550681
314	1553.136852
315	1551.79211
316	1551.241965
317	1551.216377
318	1550.760696
319	1549.076099
320	1549.068821
321	1547.390057
322	1547.270711
323	1546.306624
324	1546.01132
325	1544.306743
326	1542.571611
327	1540.976077
328	1537.879635
329	1536.18202
330	1536.175707
331	1536.169441
332	1534.678414
333	1532.654209
334	1532.641535
335	1530.824271
336	1530.817925
337	1530.683291
338	1529.912619
339	1529.906723
340	1528.996573
341	1526.766627
342	1523.693676
343	1523.672255
344	1522.30279
345	1522.296691
346	1521.023896
347	1519.294579
348	1517.612646
349	1517.577665
350	1515.778164
351	1513.684598
352	1512.603801
353	1510.878993
354	1508.868355
355	1508.862199
356	1507.513956
357	1506.276407
358	1504.527013
359	1503.388256
360	1501.650699
361	1500.005844
362	1499.362559
363	1499.326051
364	1498.004309
365	1497.074212
366	1497.068945
367	1495.987118
368	1494.136355
369	1492.179554
370	1490.218789
371	1489.187007
372	1489.18239
373	1489.177713
374	1487.714352
375	1485.332239
376	1484.777763
377	1484.751117
378	1484.721411
379	1483.88604
380	1482.285234
381	1481.009927
382	1480.236926
383	1478.728996
384	1478.70012
385	1477.346138
386	1476.789823
387	1476.047582
388	1475.794362
389	1475.768011
390	1475.075046
391	1475.053316
392	1473.661101
393	1472.424756
394	1472.401677
395	1471.976384
396	1470.774152
397	1470.2233
398	1469.090905
